EMPRESA,,1T Online,1T25,1T24,AH% 1T25-1T24,2T25,2T24,AH% 2T25-2T24,3T25,3T24,AH% 3T25-3T24,4T25,4T24,AH% 4T25-4T24,2025,2024,AH% 25-24,,2026,2025,P/L,EV/Ebitda
AALR3,,-20,-20,-36,"45,19%",-16,0 ,"-3772,06%",8 ,2 ,"335,37%",,-53,"100,00%",-28,-87,"67,80%",,"-17,79%","-51,85%","-9,22","6,61"
ABCB4,,226 ,226 ,190,"18,71%",244 ,250 ,"-2,40%",257 ,255 ,"0,68%",,243 ,"-100,00%",726,938,"-22,57%",,"-14,84%","35,92%","6,01",          -
ABEV3,,3.694 ,3.694 ,3.700,"-0,15%",2.718 ,2.396 ,"13,41%",4.745 ,3.460 ,"37,13%",,4.880 ,"-100,00%",11.157,14.437,"-22,72%",,"-10,06%","-1,27%","13,5","7,28"
AERI3,,-95,-95,-22,"-325,76%",-174,-3,"-5529,80%",-144,-57,"-154,70%",,-833,"100,00%",-413,-915,"54,87%",,"-68,28%","-20,35%","-0,2","-2,52"
AESB3,,-116,-116,14,"-935,70%",-118,-139,"15,08%",-218,-107,"-104,51%",,-69,"100,00%",-453,-300,"-50,60%",,"-33,64%","27,54%","-14,68","9,78"
AGRO3,,-1,-1,-3,"66,81%",61 ,233 ,"-73,68%",-64,97 ,"-165,95%",,-20,"100,00%",-4,307,"-101,33%",,"-11,65%","-0,23%","-81,24","21,74"
ALOS3,,255 ,255 ,2.975,"-91,44%",201 ,326 ,"-38,24%",126 ,113 ,"11,61%",,169 ,"-100,00%",582,3.582,"-83,76%",,"-26,59%","60,56%","18,83","5,46"
ALPA4,,112 ,112 ,-200,"156,30%",88 ,24 ,"272,90%",171 ,57 ,"198,46%",,2 ,"-100,00%",372,-116,"419,20%",,"-37,15%","-32,89%","21,78","9,3"
ALPK3,,-5,-5,-32,"85,24%",5 ,4 ,"29,71%",6 ,1 ,"377,35%",,-5,"100,00%",6,-32,"119,96%",,"-53,77%","206,41%","655,9","3,06"
ALUP11,,299 ,299 ,231,"29,50%",145 ,237 ,"-38,89%",489 ,364 ,"34,54%",,230 ,"-100,00%",933,1.062,"-12,13%",,"-8,55%","23,61%","9,49","6,75"
AMAR3,,2 ,2 ,-149,"101,59%",2 ,-102,"102,06%",2 ,-71,"102,96%",,6,"-100,00%",7,-316,"102,08%",,"-72,85%","-40,48%","-9,35","3,72"
AMBP3,,-191,-191,10,"-2005,34%",-172,-140,"-22,73%",-172,30 ,"-670,04%",,30 ,"-100,00%",-534,-70,"-666,36%",,"700,00%","-21,75%","-1,63","3,4"
AMER3,,-496,-496,-212,"-134,46%",-98,-1.865,"94,75%",-98,-1.865,"94,75%",,10.279 ,"-100,00%",-692,6.337,"-110,92%",,"-93,19%","-90,57%","0,12","-7,27"
ANIM3,,96 ,96 ,-77,"223,98%",10 ,-15,"164,93%",37 ,19 ,"87,93%",,16 ,"-100,00%",142,-57,"350,54%",,"-59,65%","15,54%","9,96","3,35"
ASAI3,,117 ,117 ,72,"62,50%",219 ,123 ,"78,05%",152 ,156 ,"-2,56%",,430 ,"-100,00%",488,781,"-37,52%",,"-58,39%","-30,23%","14,21","3,35"
AURA33,,-429,-429,97,"-542,38%",46 ,-134,"134,36%",31 ,-66,"146,36%",,97 ,"-100,00%",-352,-6,"-5425,00%",,"126,94%","23,39%","-52,46","6,59"
AZEV4,,-14,-14,-20,"32,64%",61 ,-77,"179,42%",61 ,-23,"368,61%",,-149,"100,00%",109,-269,"140,51%",,"-52,04%","45,19%","-1,33","-12,31"
AZUL4,,-1.800,-1.800,-737,"-144,35%",1.468 ,-3.810,"138,53%",1.468 ,121 ,"1111,36%",,13.929 ,"-100,00%",1.136,9.504,"-88,05%",,"-77,89%","45,41%","0,06","4,58"
AZZA3,,118 ,118 ,73,"61,41%",538 ,129 ,"315,44%",165 ,206 ,"-20,11%",,-67,"100,00%",820,342,"140,15%",,"-53,02%","-15,39%","7,88","4,9"
B3SA3,,1.106 ,1.106 ,1.089,"1,54%",1.326 ,1.244 ,"6,56%",1.246 ,1.204 ,"3,46%",,1.178 ,"-100,00%",3.678,4.716,"-22,02%",,"-26,87%","13,26%","15,37","10,83"
BAZA3,,274 ,274 ,287,"-4,59%",307 ,332 ,"-7,50%",268 ,319 ,"-16,18%",,274 ,"-100,00%",849,1.212,"-29,97%",,"-4,28%","103,11%","3,66",          -
BBAS3,,6.799 ,6.799 ,8.117,"-16,24%",3.085 ,8.888 ,"-65,29%",3.028 ,8.902 ,"-65,99%",,8.688 ,"-100,00%",12.912,34.595,"-62,68%",,"-5,18%","73,90%","5,83",          -
BBDC4,,5.802 ,5.802 ,4.280,"35,55%",6.067 ,4.716 ,"28,65%",6.205 ,5.225 ,"18,74%",,4.933 ,"-100,00%",18.074,19.155,"-5,65%",,"-28,79%","23,61%","8,97",          -
BBSE3,,1.964 ,1.964 ,1.833,"7,16%",2.416 ,2.143 ,"12,72%",2.334 ,2.252 ,"3,67%",,2.285 ,"-100,00%",6.715,8.513,"-21,13%",,"15,90%","10,65%","7,59",          -
BEEF3,,156 ,156 ,120,"30,54%",443 ,88 ,"400,65%",118 ,86 ,"37,25%",,-1.532,"100,00%",717,-1.238,"157,93%",,"-31,86%","-38,87%","-7,88","4,06"
BEES3,,133 ,133 ,71,"88,54%",139 ,100 ,"38,98%",139 ,91 ,"53,02%",,133 ,"-100,00%",411,395,"4,24%",,"-4,39%","85,84%","6,58",          -
